WEO Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After,Subject Descriptor
316,11.572,-8.194,8.08,7.196,16.277,-7.078,-16.085,-14.016,4.412,12.884,4.042,16.467,-8.49,0.909,9.339,2.564,7.511,6.599,5.476,5.862,6.928,-2.499,-2.244,9.808,2.708,20.115,4.244,7.342,-4.67,-13.737,4.695,-7.239,-6.565,2.812,-3.041,8.164,11.462,0.389,-1.608,7.81,-33.463,29.589,14.355,4.661,4.561,3.119,2019.0,Volume of exports of goods and services
316,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,55.93,57.916,58.54,58.539,53.882,53.771,61.301,67.484,70.967,70.86,70.528,73.306,75.768,77.44,83.383,100.013,108.158,112.637,123.672,135.161,139.252,147.021,149.454,158.264,125.585,122.222,134.094,124.526,117.242,111.337,105.678,100.112,2020.0,General government gross debt
913,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,-7.6,-11.7,-11.084,2.776,11.434,8.442,3.354,5.76,4.725,5.045,7.043,11.45,9.441,9.998,8.647,10.248,0.164,7.75,5.55,1.708,0.999,1.651,-3.83,-2.526,2.532,3.149,1.222,-2.991,2.206,1.966,0.907,0.675,1.284,2019.0,"Gross domestic product, constant prices"
913,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,12.364,11.02,15.152,10.179,13.953,13.543,14.589,11.678,12.758,12.421,14.654,17.812,23.141,30.211,36.963,45.275,60.746,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,60.011,63.085,57.708,60.969,63.759,66.113,68.013,70.478,2019.0,"Gross domestic product, current prices"
124,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,110.926,106.433,100.836,98.52,95.912,92.88,88.446,86.374,83.068,78.694,82.208,88.887,88.883,91.603,92.036,92.529,93.32,91.969,91.112,88.108,86.469,85.821,103.809,104.029,105.793,107.482,109.503,111.613,2019.0,General government net debt
339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.788,0.0,0.0,0.0,-4.658,14.366,-2.892,1.68,18.672,4.215,31.898,-0.309,1.104,15.171,7.209,0.539,3.126,22.326,-9.129,10.77,-10.724,19.882,16.029,2.913,-4.455,-4.938,-7.776,-18.694,1.387,-0.819,2.226,-21.129,10.847,4.62,2.744,2.072,1.934,2019.0,Volume of exports of goods
638,379.049,327.507,379.347,416.634,465.5,499.044,491.37,498.807,514.598,509.103,533.63,560.388,594.416,644.07,887.259,1082.966,1207.835,1323.938,1448.386,2263.338,2499.926,2685.133,2909.671,3102.021,3264.365,3462.851,3674.8,3909.982,4365.33,4580.012,4718.034,5039.213,5688.291,6182.559,6559.333,6732.814,7005.23,7375.302,7915.66,8432.248,8774.509,9328.987,10148.769,2.0,2.0,2.0,2019.0,"Gross domestic product corresponding to fiscal year, current prices"
514,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,2019.0,Gross domestic product based on purchasing-power-parity (PPP) share of world total
218,0.022,0.026,0.063,0.216,3.255,389.933,1228.093,1404.848,1673.685,1925.98,2295.194,2785.318,3139.338,3391.088,3725.145,4260.114,4863.87,5290.891,5833.644,5885.113,6226.802,6330.971,6550.339,7026.277,7764.065,8440.592,9883.054,10910.277,12572.377,12473.537,13901.206,16494.11,18278.956,20034.77,21244.311,20927.432,21231.639,23109.663,24459.314,24465.613,22788.352,24820.686,26550.165,2.0,2.0,2.0,2017.0,"Gross domestic product per capita, current prices"
218,12.557500000000001,16.051,15.624,13.238,19.672,19.464,13.536,13.021,13.981,11.588,12.532,15.578,16.704,16.564,14.371,15.244,16.237,19.632,23.607,18.772,18.143,14.268,16.295,13.232,11.022,14.254,13.865,15.187,17.553,16.971,17.007,20.718,17.673,19.018,21.034,20.281,21.057,22.22,20.596,19.875,16.044,16.207,15.471,14.727,14.372,14.113,2019.0,Total investment
963,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,-0.014,-0.197,-0.414,-0.308,-0.273,0.04,0.064,0.23,0.551,0.174,-0.851,-1.198,-0.879,-0.551,-0.51,-0.287,-0.574,0.175,0.36,0.829,0.804,0.794,-1.603,-1.192,-0.742,-0.619,-0.439,-0.183,2019.0,General government primary net lending/borrowing
616,13.362,15.54,17.28,19.094,20.737,22.416,24.658,27.074,29.349,32.753,36.487,41.084,47.863,54.755,60.56,66.918,73.677,80.234,85.457,92.137,100.0,106.565,115.119,125.692,134.475,146.054,162.928,174.459,196.481,212.412,227.174,246.422,264.996,280.583,292.97,301.918,310.401,320.632,331.023,340.44,345.947,356.287,368.578,383.322,398.654,414.601,2019.0,"Inflation, average consumer prices"
616,12.557500000000001,14.6,12.7,8.3,6.5,10.4,10.8,8.1,10.4,11.3,12.0,12.6,16.5,12.7,9.8,10.8,9.6,7.8,6.365,8.413,8.48,5.752,10.6,6.368,7.89,11.285,8.522,8.141,13.678,5.846,7.41,9.175,7.435,4.068,3.75,3.1,2.986,3.184,3.539,2.2,1.618,2.989,3.45,4.0,4.0,4.0,2019.0,"Inflation, end of period consumer prices"
616,0.852,0.908,1.109,1.343,1.717,2.27,2.716,3.542,5.362,6.377,7.309,8.174,8.934,10.561,11.854,13.864,16.668,18.807,21.523,26.404,30.165,32.653,35.107,38.395,44.216,52.841,61.118,69.045,74.406,76.814,91.395,106.202,113.692,130.336,145.918,152.191,172.949,182.669,192.091,192.596,184.769,208.522,229.239,249.606,269.439,294.395,2019.0,"Gross domestic product corresponding to fiscal year, current prices"
223,522.938,499.93,502.908,485.809,511.592,552.012,593.658,615.034,616.659,636.392,609.864,616.155,613.279,641.888,676.129,705.992,721.586,746.082,748.605,752.108,785.111,796.023,820.328,829.688,877.477,905.575,941.453,998.598,1049.47,1048.149,1127.057,1171.85,1194.364,1230.251,1236.452,1192.61,1153.541,1168.801,1184.196,1197.657,1128.187,1160.086,1186.449,2.0,2.0,2.0,2019.0,"Gross domestic product, constant prices"
516,12.557500000000001,11.68,10.611,10.623,12.1875,19916.361,11908.978,13239.407,12202.354,13414.336,15373.583,15723.283,17330.999,16611.619,16089.632,18233.963,19221.085,19060.145,14479.973,16060.902,20445.931,18621.101,18785.868,20755.774,24217.728,29420.373,34690.298,36302.79,42470.561,31341.495,35437.219,47092.296,47772.207,44860.428,41947.16,31355.736,27318.052,28236.773,30668.369,29314.112,23116.712,26273.52,27914.259,2.0,2.0,2.0,2019.0,"Gross domestic product per capita, current prices"
516,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,9.3,8.5,7.7,6.9,7.7,8.5,9.3,8.7,6.822,6.822,6.822,6.822,6.822,6.822,6.822,2018.0,Unemployment rate
516,12.557500000000001,11.68,10.611,10.623,12.1875,0.222,0.226,0.234,0.241,0.246,0.253,0.26,0.267,0.274,0.281,0.287,0.295,0.302,0.31,0.317,0.325,0.333,0.344,0.35,0.36,0.359,0.365,0.37,0.375,0.38,0.387,0.393,0.399,0.403,0.408,0.412,0.417,0.43,0.442,0.46,0.461,0.462,0.463,0.464,0.465,0.466,2019.0,Population
918,9025.864,9476.171,9845.863,10115.863,10562.573,10744.99,11318.033,11865.846,12183.143,12175.514,11137.736,10024.294,9275.541,8293.15,8084.627,8045.831,7476.623,6465.084,6789.549,6256.886,6489.723,6958.067,7414.846,7841.348,8389.742,9039.171,9703.631,10392.763,11074.06,10755.502,10901.604,11428.407,11536.811,11635.669,11927.692,12487.489,13058.243,13615.495,14135.664,14714.344,14206.749,14878.497,15522.134,2.0,2.0,2.0,2019.0,"Gross domestic product per capita, constant prices"
918,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,31.689,36.307,36.525,35.897,34.46,35.767,36.204,36.221,35.722,36.223,36.212,32.931,30.984,30.286,32.254,33.856,33.544,34.647,34.357,32.972,34.519,35.405,36.316,36.182,36.419,36.895,37.104,37.274,2019.0,General government revenue
918,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,17.813,19.702,20.627,20.78,18.194,16.644,15.559,13.387,12.12,11.167,10.71,10.641,10.532,11.629,13.674,14.119,22.102,22.714,25.751,23.534,22.066,22.044,27.969,29.369,29.344,29.362,29.442,29.494,2019.0,General government gross debt
918,2.949,0.35,0.486,0.096,1.347,-0.4,-3.159,-2.063,-0.705,-1.324,-6.678,-3.065,-3.534,-19.882,-0.327,-1.265,3.591,13.536,1.144,-2.918,-3.114,-3.625,-0.625,-3.381,-4.277,-9.428,-15.28,-23.907,-22.094,-8.319,-1.735,0.33,-0.851,1.28,1.239,0.121,3.191,3.489,1.38,4.042,1.89,2.28,2.185,0.614,0.815,0.478,2019.0,Current account balance
748,12.557500000000001,-0.694,9.407,-12.484,-10.123,34.66,20.952,-3.806,-6.213,-10.056,13.504,-6.243,-8.282,8.428,-26.981,15.027,15.454,-2.486,31.509,-13.484,-13.571,1.738,7.565,18.854,-3.475,-0.183,4.296,12.083,11.303,-6.509,8.034,10.619,14.98,15.946,-6.763,7.411,2.939,14.278,4.381,0.514,4.919,9.673,6.406,5.838,5.206,5.285,2018.0,Volume of Imports of goods
748,6.823,6.985,7.158,7.341,7.531,7.728,7.931,8.14,8.356,8.58,8.811,9.05,9.297,9.552,9.817,10.09,10.373,10.666,10.969,11.283,11.608,11.945,12.293,12.655,13.031,13.422,13.829,14.252,14.69,15.141,15.605,16.082,16.571,17.073,17.586,18.111,18.646,19.193,19.752,20.326,20.917,21.526,22.152,22.796,23.459,24.141,2018.0,Population
618,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,20.74,20.214,19.512,19.706,19.218,19.175,20.5095,21.0465,21.007,19.26,21.4,21.678,2.0,2.0,2.0,2019.0,General government net debt
618,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,136.425,127.387,159.088,171.969,172.738,136.98,130.255,129.613,102.515,25.69,46.912,42.706,41.431,36.107,36.215,38.08,43.987,44.72,50.506,57.371,65.033,68.927,70.702,71.903,71.972,71.027,2015.0,General government gross debt
522,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,6260.579,6862.597,7090.918,7170.185,7714.552,8259.91,8593.779,9296.873,9852.69,10433.753,10851.794,11359.835,12803.146,14029.079,15230.146,16232.128,17612.816,19434.074,22009.106,24379.725,26869.523,28667.518,28692.371,30403.32,32552.704,34933.396,37503.329,40182.031,43009.273,45961.039,49176.889,52881.199,56606.713,55046.763,58763.637,63073.507,2.0,2.0,2.0,2018.0,"Gross domestic product, constant prices"
522,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,20.74,20.214,19.512,19.706,19.218,19.175,20.5095,21.0465,21.007,19.26,21.4,21.678,2.0,2.0,2.0,2019.0,Output gap in percent of potential GDP
522,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,20.74,20.214,19.512,19.706,19.218,19.175,20.5095,21.0465,21.007,19.26,21.4,21.678,2.0,2.0,2.0,2019.0,Six-month London interbank offered rate (LIBOR)
156,2.165,2.204,2.129,2.132,2.164,2.189,2.16,2.166,2.164,2.136,2.055,1.965,1.785,1.796,1.823,1.806,1.767,1.772,1.792,1.821,1.828,1.817,1.819,1.78,1.743,1.716,1.672,1.62,1.59,1.55,1.518,1.504,1.468,1.481,1.489,1.435,1.455,1.462,1.442,1.428,1.39,1.391,1.381,1.363,1.34,1.317,2019.0,Gross domestic product based on purchasing-power-parity (PPP) share of world total
628,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,-33.098,-34.531,-34.136,-26.149,-56.444,-67.77,-65.02,-82.96,-100.74,-62.999,-2.409,86.396,104.965,168.152,-403.613,-219.66,137.286,29.973,-132.531,-289.105,-283.576,-117.11,-13.55,118.625,-11.022,-39.282,-82.299,56.531,167.528,71.789,160.563,2019.0,General government net lending/borrowing
228,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,2117.437,2827.375,3513.232,4257.424,4974.468,5708.423,6684.434,7398.439,8267.452,9112.532,9654.583,10526.392,11236.27,11752.89,12571.042,13864.133,15279.604,17406.735,20454.688,24011.251,26009.855,27805.329,30008.083,31788.186,35290.749,39699.373,42810.198,45711.415,48494.448,51309.835,57726.569,63698.698,62694.035,2.0,2.0,2.0,2019.0,General government total expenditure
233,8286251.15,8290272.042,8189187.395,8142263.275,8240232.519,8554164.899,8868374.088,9152795.81,9329398.291,9451836.363,9659849.562,9687690.333,9911208.004,10280949.87,10618245.23,10983816.09,11030057.4,11260643.29,11151465.8,10548114.2,10696056.38,10737496.17,10869210.89,11154747.49,11605701.85,12004313.46,12658042.67,13350718.24,13626532.59,13620022.68,14066183.26,14868650.23,15272336.95,15872731.9,16398577.48,16693815.74,16851747.76,16892335.47,17128847.77,17497697.23,15906946.8,16385785.54,16832328.43,2.0,2.0,2.0,2019.0,"Gross domestic product per capita, constant prices"
233,25.932,27.393,24.86,19.526,16.283,23.906,18.848,23.334,28.1,25.935,29.115,30.318,27.02,22.449,22.851,20.884,20.803,18.476,18.65,10.876,9.218,7.958,6.35,7.12,5.906,5.05,4.3,5.545,6.999,4.196,2.265,3.419,3.172,2.022,2.906,4.99,7.507,4.314,3.237,3.521,2.44,2.102,2.517,2.676,2.805,2.914,2019.0,"Inflation, average consumer prices"
632,158.389,154.398,160.415,168.524,172.58,169.902,169.186,170.361,166.853,169.562,158.799,169.216,157.569,157.393,173.682,180.649,182.61,181.338,181.762,186.089,193.607,203.473,207.959,214.234,209.527,202.368,208.114,212.874,215.378,215.856,216.944,218.978,213.964,211.5,206.343,203.344,197.571,190.126,187.45,192.614,194.666,194.17,194.562,194.89,195.03,195.085,2018.0,Implied PPP conversion rate
